accident_date,accident_time,step,ad_state,acman_rec,acfem_rec,deadman_rec,deadfem_rec,cause_type
2/28/2022,4:50:50 PM,??????-????????????,????,0,0,0,0,???????????????
2/26/2022,11:34:34 PM,???????,????,0,0,0,0,???????????????
2/25/2022,9:31:31 AM,??????,????,0,0,0,0,???????????
2/25/2022,9:55:55 PM,??????,????,0,0,0,0,???????????????????????
2/25/2022,12:38:38 AM,???????,????,0,0,0,0,???????????????
2/25/2022,11:40:40 AM,?????????,????,0,0,1,0,???????????????????????
2/25/2022,10:12:12 PM,?????????,????,1,0,0,0,????????????????
2/25/2022,2:15:15 PM,???????????,????,0,0,0,0,?????????
2/25/2022,10:38:38 AM,??????-??????????,????,0,0,0,0,???????????????
2/25/2022,4:17:17 PM,??????????????????? 37,????,0,0,0,0,??????
2/25/2022,5:17:17 PM,??????????????????? 37,????,0,0,0,0,???????????
2/24/2022,12:10:10 PM,?????????,????,1,0,0,0,???????????????
2/24/2022,3:05:05 PM,?????????,????,0,0,0,0,???????????????
2/24/2022,1:08:08 AM,??????-??????????,????,2,1,0,0,???????????????
2/24/2022,2:17:17 PM,??????-??????????,????,0,0,0,0,???????????????????????
2/23/2022,9:00:00 AM,??????-??????????,????,0,0,0,0,???????????????
2/21/2022,1:43:43 PM,???????,????,0,0,0,0,?????????????
2/21/2022,12:14:14 PM,?????????,????,0,0,0,0,???????????
2/21/2022,11:15:15 AM,??????-??????????,????,0,0,0,0,???????????????
2/21/2022,7:46:46 PM,??????-??????????,????,0,0,0,0,???????????????
2/21/2022,10:39:39 PM,??????-??????????,????,0,0,0,0,??????
2/20/2022,8:41:41 PM,???????,????,1,1,0,0,???????????????
2/20/2022,4:45:45 PM,?????????,????,0,1,0,0,???????????
2/20/2022,2:45:45 PM,???????????,????,0,3,0,0,???????????????????????
2/20/2022,2:02:02 AM,??????-??????????,????,1,0,0,0,???????????????????????
2/20/2022,1:30:30 AM,??????-????????????,????,0,0,0,0,???????????
2/19/2022,4:07:07 PM,??????,????,0,0,0,0,??????
2/19/2022,6:14:14 PM,??????????????????? 37,????,0,0,0,0,??????????????????
2/18/2022,11:44:44 PM,??????,????,1,1,0,0,???????????????????????
2/18/2022,9:52:52 AM,?????????,????,1,0,0,0,???????????????????????
2/18/2022,10:39:39 PM,??????-??????????,????,0,0,0,0,???????????????
2/18/2022,1:36:36 PM,??????-????????????,????,0,0,0,0,???????????????????????
2/17/2022,7:00:00 AM,??????,????,0,0,0,0,???????????????
2/17/2022,7:17:17 PM,?????????,????,0,0,0,0,???????????????
2/17/2022,1:54:54 AM,??????-??????????,????,2,2,0,0,??????
2/17/2022,3:30:30 AM,??????-??????????,????,0,0,0,0,???????????????
2/17/2022,9:02:02 PM,??????-??????????,????,0,0,0,0,???????????
2/16/2022,12:59:59 AM,??????,????,0,1,0,0,???????????????????????
2/14/2022,9:20:20 PM,??????,????,0,0,0,0,???????????????????????
2/14/2022,3:56:56 PM,?????????,????,0,0,0,0,???????????????
2/13/2022,9:30:30 AM,?????????,????,0,0,0,0,???????????????
2/12/2022,1:33:33 PM,???????,????,0,0,0,0,???????????????
2/12/2022,1:33:33 AM,??????-??????????,????,1,0,0,0,???????????????
2/11/2022,9:31:31 PM,??????,????,0,0,0,0,??????????????????
2/11/2022,3:06:06 PM,???????,????,0,0,0,0,???????????
2/11/2022,5:56:56 AM,?????????,????,1,0,0,0,???????????????
2/11/2022,6:40:40 PM,?????????,????,0,0,0,0,???????????????
2/11/2022,6:00:00 PM,???????????,????,0,0,0,0,???????????
2/11/2022,7:04:04 PM,??????????????????? 37,????,0,0,0,0,???????????????????????
2/9/2022,1:34:34 PM,???????,????,1,1,0,0,????????????????????
2/9/2022,2:58:58 PM,??????????????????? 37,????,2,0,0,0,???????????????
2/8/2022,8:48:48 AM,??????,????,0,1,0,0,???????????????????????
2/8/2022,12:50:50 AM,???????,????,0,0,0,0,???????????????
2/8/2022,9:26:26 PM,???????????,????,2,0,0,0,???????????????????????
2/8/2022,9:08:08 PM,??????????????????? 37,????,0,0,0,0,???????????????
2/7/2022,9:57:57 PM,??????,????,0,0,0,0,???????????
2/7/2022,10:12:12 AM,???????,????,0,0,0,0,???????????
2/7/2022,6:24:24 PM,???????????,????,0,0,0,0,???????????????
2/7/2022,10:52:52 PM,???????????,????,1,0,0,0,???????????????????????
2/5/2022,8:15:15 PM,??????,????,0,1,0,0,?????????????????????????
2/5/2022,1:58:58 PM,??????????????????? 37,????,0,0,0,0,??????
2/4/2022,5:43:43 AM,???????,????,1,0,0,0,??????
2/4/2022,11:51:51 PM,???????,????,0,0,0,0,???????????????????????????2
2/4/2022,3:03:03 PM,?????????,????,1,0,0,0,??????
2/4/2022,1:19:19 PM,???????????,????,0,0,0,0,???????????????????????
2/4/2022,8:55:55 PM,??????-??????????,????,0,1,0,0,???????????
2/4/2022,10:07:07 PM,??????-??????????,????,0,0,0,0,???????????????
2/3/2022,12:12:12 PM,?????????,????,0,0,0,0,??????
2/3/2022,1:50:50 AM,???????????,????,2,0,0,0,??????
2/3/2022,9:05:05 AM,??????-??????????,????,0,0,0,0,???????????????????????
2/2/2022,7:03:03 PM,??????,????,0,0,0,0,???????????????
2/2/2022,10:19:19 PM,??????,????,0,0,0,0,???????????????????????
2/2/2022,12:18:18 AM,??????-??????????,????,0,0,0,0,???????????
2/1/2022,5:30:30 AM,??????,????,0,0,0,0,???????????????????????
2/1/2022,3:13:13 PM,??????????????????? 37,????,0,0,0,0,???????????
1/31/2022,2:46:46 PM,??????,????,0,1,0,0,??????????
1/31/2022,11:00:00 AM,?????????,????,0,0,0,0,?????????
1/30/2022,12:48:48 AM,???????????,????,1,0,1,0,???????????????
1/29/2022,12:04:04 AM,??????,????,0,0,0,0,??????
1/29/2022,4:00:00 AM,??????,????,0,0,0,0,???????????????????????
1/29/2022,12:45:45 AM,???????????,????,0,0,0,0,???????????????
1/28/2022,1:10:10 PM,??????-??????????,????,0,0,0,0,?????????????
1/28/2022,9:44:44 AM,??????-????????????,????,0,0,0,0,??????????/?????????
1/28/2022,2:30:30 PM,??????????????????? 37,????,0,0,0,0,???????????????????????
1/27/2022,12:51:51 PM,???????,????,0,0,0,0,???????????????
1/25/2022,8:34:34 AM,??????,????,1,0,0,0,????????????
1/25/2022,4:38:38 AM,???????????,????,1,0,0,1,??????
1/25/2022,12:24:24 PM,???????????,????,0,0,0,0,???????????????????????
1/23/2022,1:44:44 AM,??????,????,0,0,0,0,???????????????????????
1/23/2022,12:42:42 AM,???????,????,1,0,0,0,???????????????
1/23/2022,6:00:00 PM,???????,????,0,1,0,0,????????????
1/22/2022,9:32:32 AM,??????,????,0,0,0,0,??????
1/22/2022,10:28:28 AM,??????,????,0,0,0,0,???????????????
1/22/2022,10:20:20 AM,???????????,????,1,0,0,0,???????????????
1/21/2022,1:05:05 AM,??????,????,0,0,0,0,??????
1/21/2022,3:12:12 PM,??????,????,0,0,0,0,???????
1/21/2022,12:23:23 AM,???????,????,0,0,0,0,?????????
1/20/2022,11:37:37 AM,???????,????,1,0,0,0,?????????????
1/20/2022,1:45:45 AM,??????-??????????,????,0,0,0,0,??????
1/20/2022,4:12:12 PM,??????-??????????,????,0,0,0,0,???????????????
1/20/2022,10:55:55 AM,??????-????????????,????,0,0,0,0,????????????????????????
1/19/2022,11:06:06 AM,?????????,????,0,0,0,0,???????????????
1/19/2022,11:14:14 PM,??????????????????? 37,????,0,0,0,0,???????????????
1/18/2022,11:23:23 AM,???????,????,0,0,0,0,??????????????
1/17/2022,3:02:02 AM,??????-??????????,????,1,0,0,0,??????
1/17/2022,5:05:05 AM,??????-??????????,????,1,0,0,0,??????????
1/17/2022,9:36:36 AM,??????-??????????,????,0,1,0,0,???????????????
1/16/2022,12:41:41 AM,???????,????,0,0,0,0,????????????????
1/16/2022,5:00:00 AM,??????-??????????,????,1,0,0,0,??????
1/15/2022,6:50:50 AM,???????,????,0,1,0,0,??????
1/15/2022,10:51:51 AM,?????????,????,0,0,0,0,???????????????
1/15/2022,2:50:50 PM,???????????,????,1,0,0,0,??????????
1/14/2022,9:14:14 AM,???????????,????,2,1,0,0,??????
1/14/2022,7:59:59 PM,??????????????????? 37,????,0,0,0,0,???????????
1/11/2022,7:34:34 PM,??????-????????????,????,0,0,0,0,???????????????????????
1/10/2022,3:55:55 PM,???????,????,1,0,0,0,???????????????????????
1/9/2022,7:43:43 PM,??????,????,1,0,0,0,???????????????????????
1/9/2022,7:55:55 AM,???????,????,0,1,0,0,???????????
1/8/2022,5:06:06 AM,???????,????,0,0,0,0,?????????????
1/8/2022,12:53:53 PM,???????,????,0,0,0,0,???????????????????????
1/6/2022,9:57:57 PM,??????,????,0,0,0,0,??????????????????????????????
1/5/2022,9:20:20 AM,??????,????,0,1,0,0,?????????Isuzu??????????
1/5/2022,3:39:39 PM,?????????,????,0,0,0,0,???????? Atv????????????????
1/5/2022,7:46:46 PM,???????????,????,1,0,0,0,???????????????
1/4/2022,9:17:17 AM,?????????,????,0,0,0,0,???????????????
1/2/2022,11:25:25 PM,??????,????,0,0,0,0,???????????????????????
1/2/2022,7:17:17 PM,?????????,????,1,0,0,0,???????????????
1/1/2022,8:30:30 AM,??????-??????????,????,0,2,0,0,??????????
1/1/2022,1:07:07 PM,??????????????????? 37,????,3,0,0,0,???????????????????????
12/31/2021,10:30:30 AM,?????????,????,0,3,0,0,???????????
12/31/2021,6:28:28 PM,??????-????????????,????,0,1,0,0,??????
12/30/2021,10:59:59 PM,???????,????,1,0,0,0,???????????????
12/28/2021,4:17:17 AM,??????-??????????,????,0,1,1,0,??????
12/28/2021,8:33:33 PM,??????-????????????,????,0,0,0,0,??????????/?????????
12/27/2021,1:59:59 PM,???????????,????,0,1,0,0,???????????????????????
12/27/2021,11:47:47 PM,??????-??????????,????,0,0,0,0,??????
12/25/2021,12:31:31 AM,??????,????,0,0,0,0,???????????????????????
12/24/2021,2:40:40 AM,??????,????,0,0,0,0,??????
12/24/2021,10:49:49 PM,??????,????,0,0,0,0,??????
12/24/2021,9:32:32 PM,?????????,????,0,1,0,0,???????????????????????
12/24/2021,3:07:07 AM,??????-??????????,????,0,0,0,0,???????????????
12/24/2021,11:07:07 AM,??????????????????? 37,????,2,0,0,0,???????????
12/23/2021,6:40:40 PM,???????,????,1,1,0,0,???????????????????????
12/23/2021,12:10:10 PM,?????????,????,2,0,0,0,??????
12/23/2021,3:25:25 PM,???????????,????,1,0,0,0,???????????????
12/23/2021,6:47:47 PM,??????-??????????,????,0,0,0,0,??????
12/22/2021,8:45:45 PM,??????,????,0,0,0,0,??????
12/22/2021,5:40:40 PM,???????,????,0,0,0,0,??????????
12/22/2021,7:01:01 AM,???????????,????,1,0,0,0,???????????????????????
12/21/2021,11:41:41 PM,??????,????,0,0,1,0,???????????
12/20/2021,10:08:08 AM,??????,????,0,0,0,0,???????????????
12/20/2021,12:57:57 PM,??????-??????????,????,2,0,0,0,??????
12/19/2021,5:30:30 AM,??????,????,1,0,0,0,??????
12/19/2021,7:36:36 PM,??????-????????????,????,0,0,0,0,???????????????
12/18/2021,12:18:18 AM,??????,????,0,0,1,2,???????????????
12/18/2021,6:32:32 PM,??????,????,0,0,0,0,???????????????
12/18/2021,8:13:13 PM,???????,????,1,1,0,0,???????????????????????
12/18/2021,10:51:51 PM,?????????,????,1,0,0,0,??????
12/18/2021,7:23:23 PM,???????????,????,0,0,0,0,???????????????
12/18/2021,2:05:05 AM,??????-??????????,????,0,0,0,0,???????????
12/18/2021,5:24:24 PM,??????-??????????,????,0,0,0,0,???????????
12/18/2021,1:06:06 AM,??????????????????? 37,????,1,0,0,0,??????
12/17/2021,1:07:07 PM,??????-??????????,????,1,0,0,0,???????????
12/16/2021,11:10:10 PM,??????,????,0,0,0,0,???????????????????????????
12/16/2021,9:13:13 AM,???????,????,2,0,0,0,??????
12/15/2021,3:50:50 AM,??????,????,0,0,0,0,??????
12/15/2021,6:50:50 PM,??????,????,0,0,0,0,???????????????
12/15/2021,5:23:23 PM,???????,????,1,2,0,0,??????
12/15/2021,10:58:58 AM,?????????,????,1,0,0,0,???????????????
12/14/2021,1:42:42 AM,???????????,????,0,0,0,0,??????
12/14/2021,4:40:40 AM,???????????,????,0,0,0,0,??????
12/12/2021,12:35:35 AM,???????????,????,1,0,0,0,??????
12/12/2021,4:12:12 AM,???????????,????,1,0,0,0,???????????????
12/10/2021,4:41:41 PM,??????,????,0,0,0,0,???????????????????????
12/10/2021,1:50:50 PM,???????????,????,0,0,0,0,??????
12/8/2021,7:42:42 PM,???????????,????,0,1,0,0,???????????
12/7/2021,8:28:28 AM,???????????,????,0,2,0,0,???????????????
12/6/2021,12:40:40 PM,??????,????,0,0,0,0,??????????????????
12/6/2021,6:21:21 PM,?????????,????,2,3,0,0,???????????????
12/6/2021,3:07:07 PM,???????????,????,0,1,0,0,???????????????
12/5/2021,4:37:37 AM,??????,????,1,0,0,0,???????????????????????
12/5/2021,2:07:07 PM,??????,????,0,0,0,0,???????????????
12/5/2021,4:59:59 PM,??????,????,0,0,0,0,???????????????????????
12/5/2021,10:25:25 PM,?????????,????,0,0,0,0,??????
12/5/2021,12:55:55 AM,???????????,????,0,1,0,0,??????
12/5/2021,2:25:25 PM,???????????,????,0,0,0,0,???????????????????????
12/4/2021,12:36:36 AM,??????,????,0,0,0,0,???????????????????????
12/4/2021,10:37:37 PM,???????,????,1,0,0,0,??????????????
12/4/2021,4:00:00 PM,??????????????????? 37,????,0,1,0,0,???????????????????????
12/3/2021,12:47:47 AM,???????,????,0,1,0,0,???????????????
12/3/2021,8:25:25 AM,???????????,????,1,0,0,0,???????????????????????
12/2/2021,8:28:28 PM,?????????,????,0,0,0,0,???????????
12/1/2021,10:57:57 PM,??????,????,0,1,0,0,???????????????????????
12/1/2021,10:35:35 PM,??????-??????????,????,0,0,0,0,???????????????
11/30/2021,9:13:13 PM,??????,????,0,1,0,0,???????????????
11/30/2021,10:22:22 AM,?????????,????,0,0,0,0,??????????????
11/30/2021,2:42:42 PM,???????????,????,0,0,0,0,??????
11/29/2021,1:35:35 AM,???????????,????,0,0,0,0,??????
11/29/2021,9:26:26 AM,???????????,????,0,0,0,0,???????????????
11/28/2021,1:30:30 AM,??????,????,0,0,0,0,???????????????
11/28/2021,7:45:45 AM,???????????,????,0,1,0,0,??????????????????????
11/28/2021,10:12:12 AM,???????????,????,0,0,0,0,???????????????????????
11/28/2021,4:26:26 PM,???????????,????,0,0,0,0,???????????????????????
11/28/2021,11:40:40 PM,???????????,????,0,0,0,0,???????????????
11/27/2021,8:22:22 AM,??????,????,0,0,0,0,???????????????????????
11/27/2021,6:35:35 PM,??????,????,0,0,0,0,???????????????
11/27/2021,11:43:43 AM,??????-??????????,????,0,0,0,0,????????????????
11/25/2021,10:41:41 PM,??????-????????????,????,0,0,0,0,???????????????????????
11/24/2021,7:28:28 PM,???????,????,0,0,0,0,????????????
11/23/2021,12:48:48 PM,?????????,????,0,0,0,0,??????????????????????
11/21/2021,12:40:40 PM,?????????,????,4,1,0,0,???????????????
11/21/2021,2:24:24 PM,???????????,????,2,0,0,0,???????????????????????
11/21/2021,6:36:36 AM,??????-????????????,????,0,0,0,0,???????????????
11/20/2021,1:03:03 PM,??????,????,0,0,0,0,???????????????
11/20/2021,12:27:27 AM,???????,????,1,0,0,0,???????????????
11/20/2021,9:38:38 PM,???????????,????,0,0,0,0,???????????????????????
11/20/2021,10:12:12 PM,???????????,????,0,0,0,0,???????????????
11/19/2021,11:17:17 AM,??????,????,0,1,0,0,???????????????
11/19/2021,4:11:11 PM,??????,????,2,0,0,0,???????????????????????
11/19/2021,7:37:37 PM,??????,????,0,0,0,0,???????????????
11/19/2021,9:20:20 AM,???????????,????,0,0,0,0,???????????????????????
11/19/2021,3:40:40 PM,??????-??????????,????,2,1,0,0,???????????????
11/18/2021,2:51:51 PM,???????,????,0,2,0,0,????????????????????
11/18/2021,2:49:49 PM,?????????,????,0,0,0,0,???????????????
11/18/2021,12:10:10 AM,???????????,????,0,0,1,0,??????
11/18/2021,1:58:58 AM,??????-??????????,????,1,0,0,0,??????
11/17/2021,9:55:55 PM,??????,????,2,0,0,0,??????
11/17/2021,8:23:23 AM,???????????,????,0,0,0,0,???????????????
11/16/2021,10:55:55 AM,??????,????,0,0,0,0,??????
11/16/2021,2:48:48 AM,??????-??????????,????,0,0,0,0,??????
11/15/2021,9:25:25 AM,??????-????????????,????,0,0,0,0,???????????????????????
11/14/2021,1:40:40 PM,???????????,????,0,0,0,0,???????????????
11/13/2021,9:20:20 PM,?????????,????,0,0,0,0,???????????????????????
11/12/2021,7:33:33 PM,???????,????,0,0,0,0,???????????????????????
11/12/2021,11:00:00 AM,???????????,????,0,0,0,0,???????????????
11/11/2021,10:22:22 AM,??????,????,0,0,0,0,???????????
11/10/2021,11:00:00 AM,??????,????,0,0,0,0,???????????????
11/10/2021,11:23:23 AM,??????,????,0,0,0,0,???????????????
11/10/2021,11:37:37 PM,??????,????,0,0,0,0,???????????????
11/9/2021,12:45:45 AM,??????,????,0,0,0,0,?????Toyota???????????????
11/9/2021,8:26:26 PM,??????,????,0,0,0,0,???????????????
11/9/2021,10:09:09 AM,?????????,????,1,0,0,0,??????
11/9/2021,8:55:55 PM,???????????,????,0,0,1,0,???????????????????????
11/9/2021,9:24:24 PM,???????????,????,1,0,0,0,???????????????????????
11/9/2021,3:51:51 PM,??????????????????? 37,????,2,1,0,0,???????????????????????
11/8/2021,1:18:18 PM,??????,????,0,0,0,0,???????????????
11/8/2021,3:06:06 PM,??????,????,0,0,0,0,???????????????
11/8/2021,11:39:39 PM,??????,????,1,0,0,0,??????
11/8/2021,5:31:31 AM,??????-??????????,????,0,0,0,0,???????????????????????
11/7/2021,10:30:30 AM,??????????????????? 37,????,0,1,0,0,??????
11/5/2021,9:42:42 PM,???????????,????,0,0,0,0,???????????????????????
11/5/2021,9:27:27 PM,??????????????????? 37,????,0,0,0,0,??????
11/4/2021,7:38:38 PM,??????,????,0,0,0,0,???????????????
11/4/2021,10:38:38 PM,??????,????,0,0,0,0,???????????????????????
11/4/2021,6:30:30 AM,??????-??????????,????,0,0,0,0,?????????????
11/3/2021,7:20:20 AM,??????,????,1,1,0,0,???????????
11/3/2021,3:35:35 PM,??????-??????????,????,1,0,0,0,??????
11/3/2021,5:09:09 PM,??????-??????????,????,0,0,0,0,???????????????????????
11/2/2021,11:20:20 AM,??????,????,0,0,0,0,????????????
11/2/2021,1:16:16 PM,??????,????,0,0,0,0,???????????????????????
11/2/2021,11:40:40 PM,???????????,????,0,0,0,0,???????????????
11/2/2021,9:24:24 AM,??????-??????????,????,0,0,0,0,???????????????
11/1/2021,8:39:39 PM,???????,????,2,0,0,0,???????????????
11/1/2021,8:40:40 PM,???????,????,0,0,0,0,???????????????????????
11/1/2021,12:10:10 AM,???????????,????,1,0,0,0,??????
10/31/2021,11:39:39 PM,??????,????,0,0,0,0,???????????????????????
10/31/2021,7:46:46 AM,???????,????,0,0,0,0,??????
10/30/2021,1:20:20 AM,?????????,????,1,0,0,0,???????????????
10/30/2021,10:21:21 PM,?????????,????,0,1,0,0,???????????????????????
10/30/2021,6:30:30 PM,???????????,????,0,0,0,0,????????????????
10/30/2021,8:39:39 AM,??????-??????????,????,0,0,0,0,????????????
10/29/2021,2:51:51 PM,??????,????,0,0,0,0,????????????
10/29/2021,6:08:08 PM,?????????,????,0,2,0,0,?????????????
10/29/2021,2:15:15 PM,???????????,????,0,0,0,0,???????????????
10/29/2021,2:58:58 PM,??????-??????????,????,1,0,0,0,????????????????????????10???
10/28/2021,12:28:28 AM,??????,????,0,1,0,0,???????????????????????
10/28/2021,1:40:40 PM,???????,????,1,0,0,0,???????????????????????
10/28/2021,10:46:46 AM,?????????,????,0,0,0,0,??????
10/28/2021,12:54:54 PM,???????????,????,0,0,0,0,??????
10/28/2021,11:01:01 PM,??????-??????????,????,0,0,0,0,???????????????????????
10/27/2021,1:37:37 PM,?????????,????,0,0,0,0,??????
10/27/2021,3:52:52 PM,???????????,????,0,0,0,0,?????????????????????
10/27/2021,7:21:21 AM,??????-??????????,????,0,0,0,0,??????
10/26/2021,6:42:42 PM,?????????,????,0,0,0,0,???????????????
10/26/2021,6:53:53 PM,?????????,????,0,0,0,0,???????????????????????
10/26/2021,1:00:00 PM,???????????,????,0,0,0,0,?????????????????????
10/26/2021,6:48:48 PM,??????-????????????,????,0,0,0,0,???????????????
10/25/2021,7:13:13 AM,?????????,????,0,0,0,0,???????
10/25/2021,11:29:29 AM,??????-??????????,????,1,0,0,0,??????
10/24/2021,12:50:50 AM,???????????,????,1,0,0,0,??????
10/24/2021,12:23:23 PM,??????-??????????,????,1,0,0,0,??????
10/24/2021,1:29:29 PM,??????-??????????,????,0,0,0,0,??????
10/24/2021,4:42:42 PM,??????-??????????,????,0,0,0,0,???????????
10/24/2021,7:29:29 PM,??????-??????????,????,0,0,0,0,??????
10/23/2021,8:03:03 AM,??????-??????????,????,0,0,0,0,?????????????
10/23/2021,7:18:18 PM,??????-??????????,????,0,0,0,0,???????????????????????
10/22/2021,10:08:08 AM,??????,????,2,2,0,0,???????????????
10/21/2021,4:57:57 AM,??????,????,1,0,0,0,???????????????????????
10/21/2021,5:55:55 AM,???????,????,0,0,0,0,??????????
10/21/2021,7:46:46 AM,??????????????????? 37,????,0,0,0,0,???????
10/20/2021,7:16:16 AM,???????,????,0,0,0,0,???????????
10/20/2021,9:10:10 PM,???????,????,0,0,0,0,???????????
10/20/2021,9:03:03 AM,??????-??????????,????,0,0,0,0,??????????????
10/20/2021,6:55:55 PM,??????????????????? 37,????,0,0,0,0,????????
10/19/2021,2:15:15 PM,??????,????,0,0,0,0,???????????????????????
10/19/2021,8:57:57 PM,??????,????,0,1,0,0,???????????????????????
10/18/2021,4:53:53 PM,??????,????,0,0,0,0,??????????????
10/18/2021,9:29:29 AM,???????,????,0,0,0,0,???????????
10/18/2021,10:38:38 PM,???????????,????,1,0,0,0,???????????????
10/17/2021,1:05:05 AM,??????,????,0,1,0,0,???????????????
10/17/2021,10:20:20 PM,??????,????,0,2,0,0,???????????????????????
10/17/2021,8:51:51 AM,???????,????,0,0,0,0,????????
10/17/2021,1:26:26 PM,???????????,????,1,0,0,0,???????????????????????
10/17/2021,4:26:26 PM,??????-????????????,????,0,0,0,0,???????????????????????
10/16/2021,11:19:19 PM,???????????,????,1,0,0,0,???????????
10/16/2021,11:50:50 PM,???????????,????,0,0,0,0,???????????
10/15/2021,4:58:58 AM,?????????,????,0,0,0,0,???????????????????????
10/15/2021,5:03:03 PM,??????-??????????,????,0,0,0,0,????????????
10/14/2021,2:41:41 PM,??????,????,0,0,0,0,??????????????????????????
10/14/2021,5:40:40 PM,???????,????,0,0,0,0,?????????????
10/14/2021,9:00:00 PM,?????????,????,0,0,0,0,???????????????
10/14/2021,12:28:28 AM,???????????,????,0,1,0,0,??????
10/12/2021,11:01:01 AM,??????,????,0,0,0,0,?????????????
10/12/2021,11:08:08 PM,??????,????,0,0,0,0,???????????????????????
10/12/2021,12:56:56 AM,???????,????,1,0,0,0,??????
10/12/2021,10:15:15 PM,?????????,????,0,0,0,0,???????????????
10/12/2021,9:09:09 AM,???????????,????,0,0,0,0,????????????
10/12/2021,4:20:20 PM,??????-??????????,????,0,0,0,0,?????????????
10/12/2021,3:34:34 PM,??????????????????? 37,????,0,0,0,0,??????
10/12/2021,8:20:20 PM,??????????????????? 37,????,0,0,0,0,???????????????????????
10/11/2021,11:18:18 AM,???????,????,0,0,0,0,???????????????????????
10/11/2021,10:34:34 AM,??????-??????????,????,0,0,0,0,???????????????
10/10/2021,3:26:26 PM,???????,????,0,0,0,0,??????
10/10/2021,8:01:01 PM,???????????,????,0,0,0,0,???????????????????????
10/9/2021,10:48:48 AM,??????,????,2,0,0,0,???????????????????????
10/9/2021,1:39:39 PM,??????-??????????,????,0,0,0,0,??????????????
10/8/2021,5:09:09 PM,???????????,????,0,0,0,0,???????????????
10/7/2021,10:19:19 AM,???????????,????,0,0,0,0,???????????????
10/5/2021,8:25:25 AM,?????????,????,1,0,0,0,???????????????
10/5/2021,10:37:37 AM,?????????,????,0,0,0,0,???????????????
10/5/2021,8:18:18 AM,??????????????????? 37,????,1,0,0,0,???????????????????????
10/4/2021,4:19:19 PM,?????????,????,2,0,0,0,??????
10/3/2021,10:43:43 AM,??????-??????????,????,1,0,0,0,???????????????
10/3/2021,9:56:56 PM,??????-????????????,????,0,0,0,0,???????????????
10/1/2021,11:25:25 AM,??????,????,0,0,0,0,???????????
10/1/2021,2:40:40 PM,??????-????????????,????,0,0,0,0,???????????
