Category,Unit,2016,2017,2018,2019,2020,2021
Real GDP Growth,% growth,1.651,2.647,1.189,3.912,-1.935,-3.87
Real GDP Growth,% growth,-1.8,-6.9,2.7,-0.6,4.0,2.033
Real GDP Growth,% growth,0.172,7.529,5.202,7.631,-7.353,6.461
Real GDP Growth,% growth,-3.064,0.154,1.5,2.48,-4.31,5.263
Real GDP Growth,% growth,7.113,7.284,7.864,8.153,3.509,4.599
Real GDP Growth,% growth,8.127,4.652,3.055,5.76,-10.08,-1.916
Real GDP Growth,% growth,-2.478,1.329,0.052,3.869,1.113,1.974
Real GDP Growth,% growth,6.882,7.007,7.439,7.054,-3.141,1.932
Real GDP Growth,% growth,7.289,6.947,6.75,5.95,2.348,7.915
Real GDP Growth,% growth,2.51,5.425,3.526,-0.445,-15.725,-3.997
Real GDP Growth,% growth,2.302,4.3,3.3,3.0,-7.6,2.655
Real GDP Growth,% growth,0.182,0.89,-0.72,2.539,-11.85,4.0
Real GDP Growth,% growth,2.169,3.791,2.846,-1.68,-6.081,6.512
Real GDP Growth,% growth,8.256,6.795,6.533,4.042,-7.252,9.257
Real GDP Growth,% growth,5.033,5.07,5.17,5.018,-2.07,3.488
Real GDP Growth,% growth,0.754,1.675,0.559,0.015,-4.587,1.785
Real GDP Growth,% growth,1.1,4.1,4.1,4.5,-2.6,3.705
Real GDP Growth,% growth,-0.478,-0.245,5.274,-0.54,-0.547,1.79
Real GDP Growth,% growth,4.336,4.74,3.459,4.601,-8.617,2.098
Real GDP Growth,% growth,7.023,6.832,6.308,5.169,-0.435,2.061
Real GDP Growth,% growth,-0.718,10.0,6.466,-2.629,-56.308,20.435
Real GDP Growth,% growth,4.45,5.813,4.843,4.439,-5.647,3.385
Real GDP Growth,% growth,6.338,7.21,8.123,6.884,-33.5,18.868
Real GDP Growth,% growth,1.168,5.337,7.247,5.159,-5.336,5.2
Real GDP Growth,% growth,5.862,6.4,6.8,3.2,-8.64,-1.516
Real GDP Growth,% growth,2.808,3.0,-5.5,5.7,1.0,1.55
Real GDP Growth,% growth,0.433,8.977,7.622,6.657,-2.088,1.803
Real GDP Growth,% growth,-0.2,1.6,-0.1,-1.2,-4.2,3.0
Real GDP Growth,% growth,3.869,-3.482,-4.148,0.353,-4.532,0.5
Real GDP Growth,% growth,5.527,5.554,5.836,1.145,-0.935,4.698
Real GDP Growth,% growth,5.49,3.535,-0.279,5.86,-3.905,1.215
Real GDP Growth,% growth,7.149,6.931,6.341,6.119,-9.573,5.293
Real GDP Growth,% growth,3.703,-0.58,0.733,2.414,-2.742,-7.226
Real GDP Growth,% growth,3.329,4.52,3.497,1.345,-5.391,6.515
Real GDP Growth,% growth,5.873,5.347,3.943,1.204,-4.32,1.229
Real GDP Growth,% growth,2.947,3.16,2.907,2.244,-0.852,4.008
Real GDP Growth,% growth,4.487,3.578,3.272,2.255,-3.569,3.93
Real GDP Growth,% growth,2.165,3.311,2.787,3.064,3.359,5.987
Real GDP Growth,% growth,6.949,8.783,7.57,7.443,4.5,5.0
Real GDP Growth,% growth,3.435,4.178,4.19,2.266,-6.099,1.015
Real GDP Growth,% growth,6.571,3.322,0.302,0.732,0.655,-2.023
Real GDP Growth,% growth,-4.678,0.478,1.326,-7.721,-3.355,4.532
Real GDP Growth,% growth,5.885,5.937,7.006,6.275,1.006,2.532
Real GDP Growth,% growth,6.314,4.395,5.355,5.71,1.729,6.314
Real GDP Growth,% growth,3.466,4.418,2.9,3.265,-9.235,1.219
Real GDP Growth,% growth,6.21,6.81,7.08,7.04,2.341,1.89
Real GDP Growth,% growth,2.699,2.416,2.822,1.94,-2.195,3.985
Real GDP Growth,% growth,3.712,4.355,4.019,2.594,-0.309,4.191
Real GDP Growth,% growth,3.315,3.802,4.019,2.113,-3.311,5.3
Real GDP Growth,% growth,-2.526,2.532,3.19,1.446,-0.673,2.041
Real GDP Growth,% growth,3.353,4.49,5.145,2.762,-3.198,4.624
Real GDP Growth,% growth,3.04,2.762,2.685,4.038,-4.387,3.215
Real GDP Growth,% growth,3.532,3.414,2.9,3.482,-8.1,10.615
Real GDP Growth,% growth,2.537,5.169,3.199,3.029,-5.798,2.513
Real GDP Growth,% growth,3.156,5.792,4.134,4.097,-2.951,8.585
Real GDP Growth,% growth,2.906,4.842,4.87,4.98,-6.678,9.036
Real GDP Growth,% growth,2.192,4.269,5.359,4.554,-4.676,6.712
Real GDP Growth,% growth,5.572,4.826,3.407,4.757,-5.34,6.0
Real GDP Growth,% growth,2.368,3.313,3.989,2.484,-3.619,4.515
Real GDP Growth,% growth,2.519,4.282,3.993,4.574,-0.132,4.71
Real GDP Growth,% growth,4.409,4.691,4.3,3.7,-6.969,4.5
Real GDP Growth,% growth,2.95,4.715,5.079,4.063,-15.2,7.0
Real GDP Growth,% growth,2.848,1.082,2.881,3.91,-6.111,3.902
Real GDP Growth,% growth,3.142,4.831,5.354,4.745,-2.541,5.11
Real GDP Growth,% growth,4.698,7.343,4.475,4.177,-3.945,6.685
Real GDP Growth,% growth,0.194,1.826,2.807,2.033,-2.951,4.215
Real GDP Growth,% growth,3.339,2.101,4.495,4.249,-0.98,8.171
Real GDP Growth,% growth,1.932,2.98,3.794,2.605,-4.359,4.087
Real GDP Growth,% growth,3.192,4.816,4.422,3.251,-4.23,6.312
Real GDP Growth,% growth,2.441,2.36,3.488,3.199,-4.042,3.085
Real GDP Growth,% growth,-2.447,-6.621,8.54,5.528,-29.872,7.034
Real GDP Growth,% growth,5.496,3.144,6.884,4.862,-20.188,0.965
Real GDP Growth,% growth,-2.08,2.819,-2.617,-2.026,-9.895,9.013
Real GDP Growth,% growth,1.168,2.564,-0.303,-0.7,-22.32,12.781
Real GDP Growth,% growth,0.091,1.625,2.767,0.702,-14.514,2.0
Real GDP Growth,% growth,2.485,0.478,-0.583,-1.287,-18.0,3.3
Real GDP Growth,% growth,-0.185,2.132,2.046,1.959,-16.748,8.5
Real GDP Growth,% growth,-0.657,3.611,-0.433,0.46,-7.449,1.821
Real GDP Growth,% growth,4.264,4.195,4.224,2.217,-8.829,7.778
Real GDP Growth,% growth,-3.276,1.323,1.784,1.221,-3.879,4.713
Real GDP Growth,% growth,6.645,-0.388,-0.014,1.711,1.729,2.706
Real GDP Growth,% growth,3.24,3.184,4.194,3.817,-6.7,1.2
Real GDP Growth,% growth,1.711,1.185,3.714,0.942,-5.772,11.515
Real GDP Growth,% growth,2.087,1.359,2.564,3.281,-6.796,9.512
Real GDP Growth,% growth,4.204,4.158,2.616,2.256,-4.064,4.722
Real GDP Growth,% growth,0.514,1.811,2.248,-0.165,-10.948,2.2
Real GDP Growth,% growth,-0.987,-1.739,-2.166,-3.4,-19.3,0.1
Real GDP Growth,% growth,2.764,-6.771,3.717,5.502,-16.057,3.365
Real GDP Growth,% growth,6.659,4.667,6.983,5.052,-6.72,10.284
Real GDP Growth,% growth,-1.226,2.368,1.289,0.012,-7.75,4.134
Real GDP Growth,% growth,2.54,2.25,2.412,2.635,-7.944,9.025
Real GDP Growth,% growth,3.018,0.145,2.753,0.444,-2.732,2.058
Real GDP Growth,% growth,3.739,4.439,4.362,0.676,-13.756,2.679
Real GDP Growth,% growth,-0.3,3.4,1.5,0.6,-4.9,3.691
Real GDP Growth,% growth,2.678,3.08,3.322,3.867,-1.519,7.734
Real GDP Growth,% growth,3.807,3.734,4.441,5.353,43.48,20.409
Real GDP Growth,% growth,2.307,2.51,1.668,-1.685,-3.343,-0.7
Real GDP Growth,% growth,3.894,4.843,3.845,2.652,-8.964,8.11
Real GDP Growth,% growth,1.375,0.997,1.89,0.892,-10.049,4.576
Real GDP Growth,% growth,-1.2,0.2,1.2,1.4,-3.9,2.938
Real GDP Growth,% growth,2.631,2.113,2.195,-0.186,-8.167,5.512
Real GDP Growth,% growth,4.563,4.631,-3.363,-3.674,-1.977,5.0
Real GDP Growth,% growth,4.953,5.591,3.685,2.98,-17.945,13.019
Real GDP Growth,% growth,4.268,4.81,3.204,-0.402,-0.82,4.794
Real GDP Growth,% growth,4.05,2.475,3.888,2.15,-11.017,12.513
Real GDP Growth,% growth,-1.263,-2.886,-4.147,1.485,-3.904,-0.6
Real GDP Growth,% growth,0.5,-5.8,-6.6,8.2,-22.4,3.4
Real GDP Growth,% growth,2.826,-1.977,2.924,2.054,-10.743,-1.025
Real GDP Growth,% growth,3.428,3.489,2.926,-0.064,-20.374,3.475
Real GDP Growth,% growth,1.897,1.0,2.163,0.495,-2.728,-6.072
Real GDP Growth,% growth,-4.912,1.566,4.948,1.098,-15.906,0.684
Real GDP Growth,% growth,-6.318,-2.681,-0.706,-0.171,-7.374,-1.015
Real GDP Growth,% growth,1.678,1.628,0.478,0.35,-5.859,3.385
Real GDP Growth,% growth,1.6,-0.7,1.6,2.2,-3.272,5.298
Real GDP Growth,% growth,-16.762,-15.903,-19.54,-29.924,-25.819,-10.202
Real GDP Growth,% growth,3.2,1.3,1.2,0.8,-4.9,3.41
Real GDP Growth,% growth,-2.582,-0.158,-1.987,-0.557,-5.345,0.128
Real GDP Growth,% growth,3.473,3.812,2.315,2.141,-4.936,2.899
Real GDP Growth,% growth,3.34,5.672,6.697,6.866,1.997,5.511
Real GDP Growth,% growth,7.037,4.003,3.98,2.993,-8.493,9.162
Real GDP Growth,% growth,5.958,6.203,6.731,5.699,1.93,6.667
Real GDP Growth,% growth,3.2,3.832,5.307,4.46,-1.04,1.634
Real GDP Growth,% growth,4.706,3.702,4.531,5.668,-14.783,3.995
Real GDP Growth,% growth,4.536,3.541,3.956,3.475,0.492,3.323
Real GDP Growth,% growth,4.75,4.527,3.789,2.97,0.97,-0.998
Real GDP Growth,% growth,-6.4,-2.4,2.303,2.96,-0.821,0.939
Real GDP Growth,% growth,2.603,2.952,2.956,1.756,-0.504,1.6
Real GDP Growth,% growth,2.4,3.7,5.785,4.447,1.735,4.862
Real GDP Growth,% growth,-10.702,-4.374,-4.846,-0.431,-8.169,-0.164
Real GDP Growth,% growth,7.18,7.36,6.89,6.232,1.995,5.956
Real GDP Growth,% growth,6.653,5.397,8.413,6.565,1.163,5.0
Real GDP Growth,% growth,4.326,4.203,5.314,5.558,3.57,3.326
Real GDP Growth,% growth,-8.816,-5.668,-6.237,-5.979,-4.893,4.146
Real GDP Growth,% growth,7.391,-10.015,13.032,3.836,-0.627,2.911
Real GDP Growth,% growth,1.268,2.025,2.372,2.244,-5.582,1.529
Real GDP Growth,% growth,7.562,9.564,6.816,8.364,6.057,1.989
Real GDP Growth,% growth,2.091,0.473,0.843,3.945,-0.762,1.481
Real GDP Growth,% growth,1.943,4.823,7.235,10.534,-6.183,4.86
Real GDP Growth,% growth,3.373,8.129,6.2,6.508,0.414,3.841
Real GDP Growth,% growth,10.829,10.3,6.358,5.646,7.087,5.173
Real GDP Growth,% growth,6.263,5.919,3.358,4.5,-1.4,3.3
Real GDP Growth,% growth,8.815,2.759,-2.254,-1.34,1.762,2.236
Real GDP Growth,% growth,13.787,-1.82,2.63,5.96,-15.8,3.647
Real GDP Growth,% growth,4.463,4.366,4.112,3.729,-2.077,6.21
Real GDP Growth,% growth,2.015,2.137,1.942,3.731,-1.553,2.062
Real GDP Growth,% growth,5.888,3.816,5.629,4.981,-0.316,5.81
Real GDP Growth,% growth,3.549,-3.484,2.434,-0.552,-8.855,1.208
Real GDP Growth,% growth,1.582,0.782,-1.702,-7.157,-25.0,-2.336
Real GDP Growth,% growth,3.636,-3.183,-1.223,2.586,-6.514,2.811
Real GDP Growth,% growth,-0.5,2.5,1.223,-2.516,-2.967,3.561
Real GDP Growth,% growth,-1.485,32.341,8.12,-28.079,-59.719,123.173
Real GDP Growth,% growth,3.993,3.933,3.194,4.411,-6.81,2.913
Real GDP Growth,% growth,7.836,10.5,4.354,5.556,0.904,2.2
Real GDP Growth,% growth,8.905,6.728,6.773,6.292,-1.591,4.025
Real GDP Growth,% growth,1.261,6.266,4.527,5.798,-1.763,2.729
Real GDP Growth,% growth,3.838,3.814,3.76,3.015,-14.9,5.0
Real GDP Growth,% growth,1.06,4.249,3.149,2.608,-6.293,6.01
Real GDP Growth,% growth,3.824,3.741,3.444,2.315,-1.234,2.458
Real GDP Growth,% growth,0.034,-1.027,1.108,-0.606,-7.984,1.326
Real GDP Growth,% growth,5.741,5.001,7.211,5.941,3.58,5.36
Real GDP Growth,% growth,-1.543,0.806,1.923,2.208,-1.794,3.012
Real GDP Growth,% growth,4.897,0.346,0.919,-0.825,-2.835,2.483
Real GDP Growth,% growth,3.064,-1.498,1.235,0.775,-3.64,2.551
Real GDP Growth,% growth,3.0,2.3,1.7,2.2,-4.15,3.126
Real GDP Growth,% growth,5.972,3.973,8.578,9.469,-3.357,5.104
Real GDP Growth,% growth,4.165,3.849,3.028,2.211,3.003,2.131
Real GDP Growth,% growth,1.671,-0.742,2.437,0.334,-4.138,2.815
Real GDP Growth,% growth,6.37,7.394,6.209,4.402,1.5,4.747
Real GDP Growth,% growth,4.4,4.901,1.771,1.191,-10.771,6.896
Real GDP Growth,% growth,6.344,3.783,3.446,5.508,-2.175,3.194
Real GDP Growth,% growth,4.6,2.4,3.8,3.3,-0.3,1.6
Real GDP Growth,% growth,0.665,1.158,1.488,0.113,-6.432,5.185
Real GDP Growth,% growth,-6.642,-3.495,3.843,11.38,-6.589,5.325
Real GDP Growth,% growth,3.575,4.674,2.817,1.273,-3.63,0.9
Real GDP Growth,% growth,-5.63,-0.728,1.476,3.748,5.0,3.408
Real GDP Growth,% growth,6.867,6.773,6.952,6.996,4.788,4.823
Real GDP Growth,% growth,11.621,4.008,3.951,3.6,0.7,4.776
Real GDP Growth,% growth,1.117,2.238,2.547,1.512,-9.34,3.287
Real GDP Growth,% growth,4.644,3.304,6.304,6.439,2.951,4.492
Real GDP Growth,% growth,3.061,2.374,1.19,1.678,-5.913,2.37
Real GDP Growth,% growth,-15.033,-10.573,-0.822,1.441,-8.5,-2.0
Real GDP Growth,% growth,3.753,3.527,4.034,1.441,-2.785,1.005
Real GDP Growth,% growth,0.489,4.967,4.835,-6.144,-4.069,5.133
Real GDP Growth,% growth,1.001,3.04,2.777,1.88,-5.233,4.715
Real GDP Growth,% growth,1.667,2.256,2.919,2.289,-3.405,5.515
Real GDP Growth,% growth,3.71,0.346,1.589,2.015,-11.953,5.5
Real GDP Growth,% growth,1.989,2.259,2.502,1.491,-6.735,4.315
Real GDP Growth,% growth,1.267,1.619,1.819,2.15,-5.66,5.813
Real GDP Growth,% growth,6.454,5.852,5.693,5.283,-5.229,4.766
Real GDP Growth,% growth,3.246,2.822,1.99,2.115,-2.062,3.513
Real GDP Growth,% growth,2.811,3.192,1.142,1.221,-2.8,3.215
Real GDP Growth,% growth,1.096,2.292,1.865,1.843,-7.855,6.507
Real GDP Growth,% growth,2.23,2.68,1.086,1.051,-4.561,2.513
Real GDP Growth,% growth,7.5,7.5,5.9,5.0,-6.2,4.0
Real GDP Growth,% growth,-0.487,1.092,1.668,1.804,-9.019,7.513
Real GDP Growth,% growth,6.304,4.195,4.892,2.435,-6.504,3.696
Real GDP Growth,% growth,2.042,8.94,9.03,4.917,5.867,14.51
Real GDP Growth,% growth,1.293,1.668,0.926,0.41,-8.941,6.312
Real GDP Growth,% growth,2.332,3.172,3.936,-1.039,-2.175,4.0
Real GDP Growth,% growth,4.979,1.317,2.004,3.284,-1.777,5.513
Real GDP Growth,% growth,3.144,11.538,6.138,5.892,-8.228,5.711
Real GDP Growth,% growth,3.452,-3.501,5.999,6.9,-11.8,5.656
Real GDP Growth,% growth,2.192,2.911,2.361,1.956,-3.797,4.315
Real GDP Growth,% growth,1.072,2.323,1.119,0.746,-0.717,4.015
Real GDP Growth,% growth,2.019,3.506,2.849,2.683,-8.442,4.412
Real GDP Growth,% growth,3.031,2.974,2.289,2.085,-10.823,4.512
Real GDP Growth,% growth,2.071,2.568,1.95,1.986,-2.948,4.413
Real GDP Growth,% growth,2.045,1.585,2.917,1.211,-2.393,3.513
Real GDP Growth,% growth,3.323,7.502,2.98,0.89,1.794,10.013
Real GDP Growth,% growth,1.722,1.74,1.253,1.371,-9.88,6.688
