Economies and Consumers Quarterly Data | Historical | Non-seasonally adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Azerbaijan,Unemployed Population,Socio-economic indicators,0,-,244.5,245.2,246.9,252.8,252.6,251.5,250.4,251.7,252.5,252.4,251.6,253.8,254.1,252.7,251.7,251.6,255.1,337.5,364.2,375.9,370.3,350.8,320.4,281.6
"Hong Kong, China",Unemployed Population,Socio-economic indicators,0,-,127.8,135.5,140.1,130.5,122.2,126.2,128.2,117.5,108.7,111.4,117.1,111.5,105.9,114.1,119.5,125.3,139.1,223.7,251.2,249,258.4,230.5,189.6,157.1
Indonesia,Unemployed Population,Socio-economic indicators,0,-,"7,022.00","7,027.50","7,031.80","7,025.70","7,011.30","7,028.90","7,043.50","6,962.70","6,871.10","6,934.90","6,995.70","6,955.60","6,901.90","7,005.40","7,105.50","7,019.30","6,926.80","8,360.20","9,772.30","9,265.40","8,752.10","8,923.80","9,095.90","9,076.80"
Japan,Unemployed Population,Socio-economic indicators,0,-,"2,134.40","2,162.10","2,058.30","1,962.50","1,902.10","1,977.90","1,894.90","1,773.90","1,665.80","1,690.60","1,690.50","1,623.70","1,637.40","1,678.10","1,612.60","1,544.80","1,645.90","1,939.50","2,040.50","1,998.50","1,914.40","2,087.20","1,928.30","1,770.10"
Kazakhstan,Unemployed Population,Socio-economic indicators,0,-,447,447.4,444.7,441.3,439.2,439.3,441,439.3,439.6,441.4,441.6,441.9,441.9,442.1,442,441.6,442.1,450.1,454.5,453.6,451.9,451.4,450.9,451.8
Malaysia,Unemployed Population,Socio-economic indicators,0,-,504.3,504.7,517,512.8,516.9,509.2,516.2,503.6,502.2,511.7,519.2,510.5,517.9,521.2,518.8,511,549.4,797,741.1,761.1,770.4,745.3,747.3,698.9
Philippines,Unemployed Population,Socio-economic indicators,0,-,"2,640.40","2,339.30","2,054.60","2,780.90","2,436.00","2,381.10","2,186.00","2,337.20","2,378.60","2,329.30","2,203.40","2,283.30","2,267.00","2,437.30","2,050.10","2,391.90","7,260.70","4,570.90","3,812.70","3,953.30","3,870.20","3,880.90","3,725.00","3,770.90"
Singapore,Unemployed Population,Socio-economic indicators,0,-,65.1,102.8,67.3,69.1,77.7,106.9,68.1,65.9,69.4,100.2,68.6,71.6,74.7,110.8,74.7,74.7,82.7,139.9,117.1,102,93.1,124.5,87.3,80.5
South Korea,Unemployed Population,Socio-economic indicators,0,-,"1,148.10","1,020.20",978.8,879.9,"1,154.80","1,082.30",960,888.7,"1,172.40","1,106.20","1,057.70",939.6,"1,246.40","1,175.00",944.7,895.4,"1,153.60","1,216.80","1,001.50","1,044.50","1,376.40","1,124.70",806.3,843.4
Sri Lanka,Unemployed Population,Socio-economic indicators,0,-,349.4,376.9,376.9,350.9,351.9,383.9,357.9,345.7,375,384.2,343.9,390,403.4,422.5,438.3,385.6,484.7,455.5,490.3,440.6,494.4,434.3,410.9,388.5
Taiwan,Unemployed Population,Socio-economic indicators,0,-,456.5,453.2,473.7,455.1,447.3,434.1,453.1,438.6,433.6,433.1,453.9,441.2,438.5,440,459.4,445.7,441.1,480.3,471.8,448,439.8,497.9,504.9,441.8
Thailand,Unemployed Population,Socio-economic indicators,0,-,369.9,411.1,362.5,366.3,463.4,465,452.6,421.7,473.8,411.2,373.5,358.8,351.2,376.9,394,371.5,394.5,745.2,737.7,727.1,758.1,731.8,871.3,
Vietnam,Unemployed Population,Socio-economic indicators,0,-,"1,116.10","1,122.60","1,162.90","1,152.50",989.2,"1,120.50","1,109.60","1,110.80","1,106.50","1,105.90","1,105.40","1,104.80","1,202.90","1,197.90","1,208.00","1,204.10","1,228.40","1,450.90","1,364.50","1,235.70","1,234.70","1,337.90","1,952.90","1,806.30"
Australia,Unemployed Population,Socio-economic indicators,0,-,788.7,712.7,704.3,694.5,800.4,713.8,706.5,681.7,787.8,710.2,678.9,639.2,728.8,700.1,703,668.8,767.1,906.7,941.6,883.6,879.4,706.9,621.8,607.3
New Zealand,Unemployed Population,Socio-economic indicators,0,-,141.1,127.4,128.3,139.6,140.8,125.7,125.1,121.4,127.5,121.6,108.2,122.4,123.4,108.8,112.2,116.6,129.5,110.6,145.3,141.4,141.9,112.3,93.2,107
Belarus,Unemployed Population,Socio-economic indicators,0,-,,,,,325.7,294.5,273.9,284.3,260.6,239.1,240.5,245.9,235.4,222.5,199.7,203.3,206.7,212.8,204,208.5,207.9,202.3,186.6,
Bulgaria,Unemployed Population,Socio-economic indicators,0,-,280.3,267,229.7,215.3,225,215,201,190,189.7,183,169.3,155.3,166.3,143.3,127,139.3,149.3,192.3,161.7,175,204,183,150.7,153.1
Croatia,Unemployed Population,Socio-economic indicators,0,-,293.7,233.7,214.7,239,246.7,192.3,177,190.7,189.3,143.7,130,142,146.7,110.7,104.3,115.7,123.7,137.7,138.7,156.3,166.7,141.7,126.7,126.2
Czech Republic,Unemployed Population,Socio-economic indicators,0,-,231,209.7,213,192.3,184.3,158.7,149.3,129,129.7,118,127,110.7,109.7,102.3,114.7,109,106,126.3,153.7,161.7,179.3,158.3,145.7,133.4
Estonia,Unemployed Population,Socio-economic indicators,0,-,45.3,46,49.7,45.7,39.3,46.3,39,37.7,47.7,37.3,37.7,32,31.7,33.3,30,31,35,48.7,54.7,50,48.7,46.3,40.7,33.7
Hungary,Unemployed Population,Socio-economic indicators,0,-,272.7,234.3,226,205,206.7,196,188.3,175,178,165,178.3,166.3,165,155,162,153.3,173,214,208,195.3,215,197.7,189.7,180.4
Latvia,Unemployed Population,Socio-economic indicators,0,-,101.3,94.3,94.7,90.7,91.3,86.7,84,79.7,80.3,75.3,69,67.3,67,61.7,59,58,74.3,83.7,81.7,75.7,74.7,73.7,67.7,66.5
Lithuania,Unemployed Population,Socio-economic indicators,0,-,122.7,119,111,112,117.7,102.3,95.3,97,104,85.7,83,87,95.3,90,89,93.7,106,126,137.3,134.7,108.7,108.3,99,95.2
North Macedonia,Unemployed Population,Socio-economic indicators,0,-,233.6,230.5,224.2,220.5,220.1,216.9,212.9,210.8,206.6,202,199.3,185.8,171.3,168.2,164.7,161.2,156.6,159.6,155.6,152,150.8,150.1,148.5,154.7
Poland,Unemployed Population,Socio-economic indicators,0,-,"1,203.00","1,065.70","1,027.00",958,926.7,863,817.7,769,709,616.7,661.7,649.3,665.3,547.7,532.3,485.7,528.7,526.7,561.3,531,687,606,528.3,471
Romania,Unemployed Population,Socio-economic indicators,0,-,633,585.3,573.3,532.7,526.3,510,493,472.7,460.7,432.3,407,416.3,409.3,393.7,397,401.7,426.7,528,518.3,516.3,496,418,436,444.7
Russia,Unemployed Population,Socio-economic indicators,0,-,"4,454.90","4,312.80","4,045.40","4,118.00","4,199.70","3,953.60","3,834.80","3,876.00","3,845.50","3,625.80","3,523.50","3,632.20","3,625.00","3,402.80","3,353.00","3,491.40","3,487.60","4,499.00","4,762.70","4,585.00","4,225.00","3,736.40","3,324.90","3,276.50"
Serbia,Unemployed Population,Socio-economic indicators,0,-,602,495.5,450.1,409.8,452.8,384.1,428.2,475.6,468.7,391.5,371.8,416.6,387.1,334,308.4,314.1,310.3,222.9,292,321,399.4,352,341.5,303.6
Slovakia,Unemployed Population,Socio-economic indicators,0,-,285.3,265.7,263.3,252.7,239.7,223.3,220.3,212.7,194.3,181.7,175.3,167.3,159.7,155,161.3,155,161.7,178,196.3,190,190,189,188,177.2
Slovenia,Unemployed Population,Socio-economic indicators,0,-,87,77.7,73.3,81,79,66,65.7,59.3,61,54,52,45,49.7,43.7,49.3,40.7,46.7,53,53,53,55.7,44.7,47,47.9
Ukraine,Unemployed Population,Socio-economic indicators,0,-,"1,764.10","1,624.30","1,594.40","1,730.00","1,784.70","1,637.40","1,605.00","1,753.10","1,722.50","1,496.30","1,448.60","1,662.90","1,657.20","1,422.50","1,338.80","1,572.50","1,539.70","1,706.60","1,676.90","1,766.70","1,797.80","1,624.50","1,608.20","1,734.40"
Argentina,Unemployed Population,Socio-economic indicators,0,-,"1,008.70","1,162.80","1,066.40",942.2,"1,148.00","1,086.00","1,058.40",922.9,"1,176.80","1,236.60","1,169.10","1,181.10","1,341.80","1,432.20","1,282.40","1,195.80","1,397.70","1,438.80","1,412.40","1,423.60","1,360.40","1,272.40","1,100.70","1,060.30"
Chile,Unemployed Population,Socio-economic indicators,0,-,544.9,615.7,590.5,534.6,581.7,622.1,598.3,580.1,629.7,657.9,647.4,629.1,634,660.4,659.3,664.1,719.2,962.8,969.5,893.5,893.5,893.5,893.5,662.1
Colombia,Unemployed Population,Socio-economic indicators,0,-,"2,578.40","2,167.50","2,214.50","2,034.80","2,592.40","2,236.10","2,298.30","2,129.20","2,607.30","2,350.50","2,356.20","2,309.70","2,934.20","2,497.10","2,621.80","2,406.70","3,076.60","4,436.40","4,104.10","3,409.70","3,845.30","3,629.80","3,176.30","2,723.10"
Costa Rica,Unemployed Population,Socio-economic indicators,0,-,209.2,202.6,212.3,217.6,207,193.1,213.8,204.5,229.1,205.1,242.2,293.9,276.3,295.6,278.1,309.5,314.2,551.4,520.2,487.7,458,434.2,378.1,
Dominican Republic,Unemployed Population,Socio-economic indicators,0,-,678.1,681.4,684.7,681.4,679.8,693.1,702.4,701,715.2,725.9,735.2,732.5,746.5,756.4,764.6,760.4,773.5,781.2,788.4,783.4,796.9,806.9,815,809.8
Mexico,Unemployed Population,Socio-economic indicators,0,-,"2,137.90","2,099.30","2,196.10","1,901.50","1,816.70","1,855.20","1,909.00","1,832.10","1,734.90","1,855.90","1,967.40","1,840.60","1,867.60","1,991.50","2,131.70","1,912.10","1,942.10","2,250.50","2,810.20","2,396.40","2,400.50","2,435.60","2,506.00","2,208.00"
Peru,Unemployed Population,Socio-economic indicators,0,-,352.1,356.6,328.6,325.6,400.8,358,335.9,337.8,421.2,322.1,324.7,323.3,428.7,329.4,300.7,325.6,375.7,391.1,661.1,733.1,708,620.4,496.4,465.8
Venezuela,Unemployed Population,Socio-economic indicators,0,-,"1,061.50","1,074.00","1,042.20",994.3,"1,146.10","1,091.80","1,071.40","1,026.70","1,120.80","1,062.90","1,056.00","1,091.20","1,276.40","1,205.80","1,244.90","1,137.90","1,410.60","1,331.60","1,359.50","1,204.80","1,434.20","1,308.20","1,315.10","1,167.60"
Bahrain,Unemployed Population,Socio-economic indicators,0,-,25.4,26.7,29.6,31,30.2,29.7,28.7,29,28.9,29.1,28.4,29.5,29.3,31.4,29.1,28.4,28,23.9,25.1,26.2,27.6,30.1,28.4,30.1
Egypt,Unemployed Population,Socio-economic indicators,0,-,"3,621.00","3,560.00","3,640.00","3,591.00","3,503.00","3,496.00","3,513.00","3,309.00","3,094.00","2,875.00","2,920.00","2,491.00","2,267.00","2,094.00","2,212.00","2,329.00","2,236.00","2,574.00","2,434.30","2,294.70","2,155.00","2,314.10","2,374.60","2,587.90"
Iran,Unemployed Population,Socio-economic indicators,0,-,"2,886.70","3,142.00","3,348.90","3,136.60","3,192.60","3,361.10","3,157.00","3,150.30","3,173.10","3,313.30","3,328.50","3,170.20","3,210.60","3,042.80","2,875.10","2,897.90","2,779.70","2,495.90","2,471.80","2,484.40","2,285.10","2,447.40","2,406.30","2,416.70"
Israel,Unemployed Population,Socio-economic indicators,0,-,195.2,176.2,200.3,181.6,165.9,167.4,169.9,170,143.7,156,175.4,175.4,159.7,150.9,160.5,156.1,138.9,160.9,208.1,200,189.6,212.7,225.4,218.4
Morocco,Unemployed Population,Socio-economic indicators,0,-,"1,184.10","1,025.90","1,137.70","1,052.50","1,296.00","1,123.60","1,233.50","1,268.60","1,271.90","1,103.00","1,088.00","1,121.70","1,085.20",981,"1,114.00","1,239.00","1,291.50","1,476.80","1,482.00","1,461.00","1,534.00","1,605.00","1,447.00","1,399.70"
Qatar,Unemployed Population,Socio-economic indicators,0,-,3.4,3.3,3.4,2.9,2.9,2.9,2.9,2.7,2.5,2.2,2.1,2.1,2.2,2.2,2.2,2.6,2.3,2.8,2.9,3,3.1,3,,
South Africa,Unemployed Population,Socio-economic indicators,0,-,"5,713.20","5,633.60","5,882.30","5,790.00","6,212.00","6,170.70","6,205.40","5,887.60","5,969.60","6,084.60","6,212.00","6,143.00","6,207.80","6,660.70","6,724.70","6,735.50","7,059.10","4,297.20","6,537.00","7,233.50","7,249.30","7,832.20","7,651.80","8,166.20"
Tunisia,Unemployed Population,Socio-economic indicators,0,-,621.8,631.3,628.7,630.7,623.8,624.9,627.4,639,634.2,638,642.8,644.9,636.2,636.9,630,624.4,634.8,746.4,676.6,,,,,
Canada,Unemployed Population,Socio-economic indicators,0,-,"1,462.00","1,353.50","1,384.30","1,232.70","1,377.60","1,274.20","1,265.80","1,080.30","1,215.10","1,182.50","1,212.40","1,039.70","1,233.10","1,132.60","1,191.60","1,060.20","1,337.40","2,523.10","2,096.30","1,624.60","1,765.80","1,645.30","1,511.80","1,158.30"
USA,Unemployed Population,Socio-economic indicators,0,-,"8,223.80","7,587.30","7,949.50","7,226.40","7,754.30","6,790.60","7,096.60","6,250.50","6,977.00","6,216.20","6,286.00","5,800.50","6,719.10","5,705.30","6,080.20","5,477.30","6,698.30","20,331.70","14,317.30","10,433.50","10,444.40","9,289.10","8,426.50","6,421.60"
Austria,Unemployed Population,Socio-economic indicators,0,-,323,285,285.7,268,310.3,251.7,253.7,252.7,275.3,217.3,231.3,224.7,260,210.7,208,202.3,235,299.3,279.3,272,360.3,296.3,245,217.1
Belgium,Unemployed Population,Socio-economic indicators,0,-,411.3,391.3,392,363.7,382.7,348.3,363,321,308,304.3,300.3,290.3,284,271.7,274,264.7,258.7,245.3,332,293.7,339,314.7,342.7,313.6
Denmark,Unemployed Population,Socio-economic indicators,0,-,182.3,173,180,171.3,184.7,169.3,176,158.7,158.7,150.3,151,149.3,163,144.7,152.3,152,151.3,158.7,193.3,179.7,185.3,147.7,151,150.2
Finland,Unemployed Population,Socio-economic indicators,0,-,255.3,270,206,213.7,248.7,273.7,208.3,204,238,229,178,160.3,189.7,216.3,164,162.7,190.7,242.7,207,197.3,228,259,190.7,171.7
France,Unemployed Population,Socio-economic indicators,0,-,"3,167.30","2,863.00","2,869.00","3,070.00","2,951.70","2,723.70","2,780.30","2,770.30","2,865.30","2,595.30","2,649.70","2,694.70","2,686.70","2,401.70","2,465.30","2,522.00","2,413.00","1,970.00","2,675.00","2,464.30","2,475.70","2,282.00","2,407.70","2,418.90"
Germany,Unemployed Population,Socio-economic indicators,0,-,"1,940.30","1,793.30","1,732.30","1,630.00","1,761.30","1,622.00","1,586.00","1,516.00","1,564.00","1,487.70","1,446.00","1,374.00","1,453.30","1,331.70","1,356.00","1,354.70","1,587.30","1,667.00","1,779.30","1,623.00","1,738.00","1,579.70","1,390.30","1,374.20"
Greece,Unemployed Population,Socio-economic indicators,0,-,"1,195.00","1,112.00","1,092.30","1,124.00","1,115.00","1,016.70",970,"1,007.00","1,001.00",906,872,881.3,907,805,777,786.3,771,768.3,756.3,750,745.3,732.3,615,641.8
Ireland,Unemployed Population,Socio-economic indicators,0,-,199,211.3,200.3,167.3,163,160.3,163.3,144.3,133,145,143.3,128.7,114.7,131,128,110.7,114.3,121,179.3,141.7,170.3,184,149,126
Italy,Unemployed Population,Socio-economic indicators,0,-,"3,092.00","3,002.00","2,793.70","3,174.30","3,147.00","2,851.00","2,750.30","2,910.00","3,002.00","2,817.00","2,423.00","2,810.70","2,864.30","2,548.00","2,365.00","2,572.70","2,379.00","1,936.30","2,556.00","2,398.70","2,646.70","2,430.70","2,253.00","2,302.40"
Netherlands,Unemployed Population,Socio-economic indicators,0,-,711,664.7,611.7,595,609,558.7,516.3,498.3,503.3,462,438.7,431,450,415,411.7,416,410.3,460,508,480.7,464.7,416.7,387.3,364.7
Norway,Unemployed Population,Socio-economic indicators,0,-,140.7,134.3,134,118.7,118.7,124.3,114.3,106.7,109.7,109.3,113.7,102,104.7,98,111,106.3,102.3,131,151.7,139.7,136.7,142.3,117.3,108.1
Portugal,Unemployed Population,Socio-economic indicators,0,-,631,565.3,548,541,522.3,467,440.7,427.3,408.7,352.3,342,349.7,351.3,330,326,351.3,347,315.3,396.3,374,355.7,343.3,323,332.6
Spain,Unemployed Population,Socio-economic indicators,0,-,"4,791.30","4,574.70","4,320.70","4,238.00","4,255.30","3,914.30","3,731.70","3,766.70","3,796.00","3,490.30","3,326.00","3,304.30","3,354.30","3,230.70","3,214.30","3,192.00","3,313.00","3,368.00","3,723.00","3,720.00","3,654.00","3,543.70","3,417.00","3,389.30"
Sweden,Unemployed Population,Socio-economic indicators,0,-,396.7,398.3,336,334.3,379.7,393.3,340,322,355,373.7,330.3,317,390.7,388,366.7,345.7,417.7,500.7,482.7,433.7,526,552.7,462,420
Switzerland,Unemployed Population,Socio-economic indicators,0,-,258,222.7,247.7,224.3,255.7,213.3,243,222,255.3,226.3,216.7,227,243,205.7,224.7,192.7,222,222.7,259.7,246.3,286.7,246,253,228.8
Turkey,Unemployed Population,Socio-economic indicators,0,-,"3,212.60","2,882.50","3,476.70","3,713.50","3,899.00","3,219.90","3,377.40","3,255.60","3,311.10","3,105.70","3,644.20","3,969.90","4,696.20","4,191.10","4,674.50","4,302.30","4,182.50","3,797.40","4,207.60","3,972.00","4,285.10","3,830.80","3,933.70","3,677.40"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unemployed Population: Euromonitor International from International Labour Organisation (ILO)/Eurostat/national statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Exported (GMT): 17/2/2565 9:35:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Euromonitor International,,,,,,,,,,,,,,,,,,,,,,,,,,,,
